股票代號,產業名稱
1101,水泥工業
1102,水泥工業
1103,水泥工業
1104,水泥工業
1107,
1108,水泥工業
1109,水泥工業
1110,水泥工業
1113,
1201,食品工業
1203,食品工業
1204,
1206,
1207,
1208,
1209,
1210,食品工業
1212,
1213,食品工業
1214,
1215,食品工業
1216,食品工業
1217,食品工業
1218,食品工業
1219,食品工業
1220,食品工業
1221,
1222,
1224,
1225,食品工業
1226,
1227,食品工業
1228,
1229,食品工業
1230,
1231,食品工業
1232,食品工業
1233,食品工業
1234,食品工業
1235,食品工業
1236,食品工業
1238,
1240,農業科技
1256,食品工業
1258,
1259,觀光餐旅
1262,
1264,食品工業
1268,觀光餐旅
1294,食品工業
1301,塑膠工業
1302,
1303,塑膠工業
1304,塑膠工業
1305,塑膠工業
1306,
1307,塑膠工業
1308,塑膠工業
1309,塑膠工業
1310,塑膠工業
1311,
1312,塑膠工業
1313,塑膠工業
1314,塑膠工業
1315,塑膠工業
1316,建材營建
1317,
1319,汽車工業
1321,塑膠工業
1323,塑膠工業
1324,塑膠工業
1325,塑膠工業
1326,塑膠工業
1333,
1336,電子–電子零組件
1337,塑膠工業
1338,汽車工業
1339,汽車工業
1340,塑膠工業
1341,塑膠工業
1342,其他
1402,紡織纖維
1407,
1408,
1409,紡織纖維
1410,紡織纖維
1413,紡織纖維
1414,紡織纖維
1416,其他
1417,紡織纖維
1418,紡織纖維
1419,紡織纖維
1422,
1423,紡織纖維
1424,
1425,
1429,
1431,
1432,運動休閒
1434,紡織纖維
1435,其他
1436,建材營建
1437,其他
1438,建材營建
1439,建材營建
1440,紡織纖維
1441,紡織纖維
1442,建材營建
1443,其他
1444,紡織纖維
1445,紡織纖維
1446,紡織纖維
1447,紡織纖維
1449,紡織纖維
1450,
1451,紡織纖維
1452,紡織纖維
1453,建材營建
1454,紡織纖維
1455,紡織纖維
1456,建材營建
1457,紡織纖維
1458,
1459,紡織纖維
1460,紡織纖維
1462,
1463,紡織纖維
1464,紡織纖維
1465,紡織纖維
1466,紡織纖維
1467,紡織纖維
1468,紡織纖維
1469,
1470,紡織纖維
1471,電子–電子零組件
1472,建材營建
1473,紡織纖維
1474,紡織纖維
1475,紡織纖維
1476,紡織纖維
1477,紡織纖維
1491,
1492,
1501,
1503,電機機械
1504,電機機械
1505,
1506,電機機械
1507,
1509,
1510,
1512,汽車工業
1513,電機機械
1514,電機機械
1515,電機機械
1516,其他
1517,電機機械
1519,電機機械
1520,
1521,汽車工業
1522,汽車工業
1523,
1524,汽車工業
1525,汽車工業
1526,電機機械
1527,電機機械
1528,電機機械
1529,電機機械
1530,電機機械
1531,電機機械
1532,電機機械
1533,汽車工業
1534,
1535,電機機械
1536,汽車工業
1537,電機機械
1538,電機機械
1539,電機機械
1540,電機機械
1541,電機機械
1558,電機機械
1560,電機機械
1563,汽車工業
1565,生技醫療
1566,
1568,汽車工業
1569,電子–電腦及週邊設備
1570,電機機械
1580,電機機械
1582,電子–電子零組件
1583,電機機械
1584,其他
1586,電機機械
1587,汽車工業
1589,電機機械
1590,電機機械
1591,電機機械
1592,
1593,運動休閒
1595,電子–電子零組件
1597,電機機械
1598,運動休閒
1599,電機機械
1601,
1602,
1603,電器電纜
1604,電器電纜
1605,電器電纜
1606,
1607,
1608,電器電纜
1609,電器電纜
1611,電器電纜
1612,電器電纜
1613,
1614,電器電纜
1615,電器電纜
1616,電器電纜
1617,電器電纜
1618,電器電纜
1626,電器電纜
1701,
1702,食品工業
1704,
1707,生技醫療
1708,化學工業
1709,化學工業
1710,化學工業
1711,化學工業
1712,化學工業
1713,化學工業
1714,化學工業
1715,
1716,
1717,化學工業
1718,化學工業
1720,生技醫療
1721,化學工業
1722,化學工業
1723,化學工業
1724,
1725,化學工業
1726,化學工業
1727,化學工業
1729,
1730,化學工業
1731,生技醫療
1732,化學工業
1733,生技醫療
1734,生技醫療
1735,化學工業
1736,運動休閒
1737,食品工業
1742,化學工業
1748,
1752,生技醫療
1760,生技醫療
1762,生技醫療
1773,化學工業
1776,化學工業
1777,生技醫療
1781,生技醫療
1783,生技醫療
1784,生技醫療
1785,電子–其他電子
1786,生技醫療
1787,
1788,生技醫療
1789,生技醫療
1795,生技醫療
1796,食品工業
1799,生技醫療
1801,
1802,玻璃陶瓷
1805,建材營建
1806,玻璃陶瓷
1807,
1808,建材營建
1809,玻璃陶瓷
1810,玻璃陶瓷
1813,生技醫療
1815,電子–電子零組件
1817,玻璃陶瓷
1902,
1903,造紙工業
1904,造紙工業
1905,造紙工業
1906,造紙工業
1907,造紙工業
1909,造紙工業
1918,
2002,鋼鐵工業
2005,
2006,鋼鐵工業
2007,鋼鐵工業
2008,鋼鐵工業
2009,鋼鐵工業
2010,鋼鐵工業
2011,
2012,鋼鐵工業
2013,鋼鐵工業
2014,鋼鐵工業
2015,鋼鐵工業
2016,
2017,鋼鐵工業
2019,
2020,鋼鐵工業
2022,鋼鐵工業
2023,鋼鐵工業
2024,鋼鐵工業
2025,鋼鐵工業
2027,鋼鐵工業
2028,鋼鐵工業
2029,鋼鐵工業
2030,鋼鐵工業
2031,鋼鐵工業
2032,鋼鐵工業
2033,鋼鐵工業
2034,鋼鐵工業
2035,鋼鐵工業
2038,鋼鐵工業
2045,
2049,電機機械
2052,
2058,
2059,電子–電子零組件
2061,電器電纜
2062,居家生活
2063,鋼鐵工業
2064,鋼鐵工業
2065,鋼鐵工業
2066,電機機械
2067,電機機械
2069,鋼鐵工業
2070,電機機械
2073,鋼鐵工業
2101,橡膠工業
2102,橡膠工業
2103,橡膠工業
2104,橡膠工業
2105,橡膠工業
2106,橡膠工業
2107,橡膠工業
2108,橡膠工業
2109,橡膠工業
2114,橡膠工業
2115,汽車工業
2201,汽車工業
2202,
2204,汽車工業
2206,汽車工業
2207,汽車工業
2208,航運業
2211,鋼鐵工業
2221,其他
2227,汽車工業
